model,axis_id,projection_mae,projection_spearman,smoothness,endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,n
qwen35_35b_a3b,emotion_apology,0.09539451108001022,0.9421808100964908,0.20426357952961904,0.03333333333333333,0.23397406531231743,0.22538666405848096,0.2857142857142857,140
qwen35_35b_a3b,empathy_clinical,0.0910333442782428,0.954282807689325,0.13835368183511004,0.03333333333333333,0.24291733247893196,0.23456547654100826,0.29285714285714287,140
qwen35_35b_a3b,formality_request,0.07668144096796524,0.9510034853261313,0.15087125775108573,0.016666666666666666,0.26544886752963065,0.25840367270367487,0.2857142857142857,140
qwen35_4b,emotion_apology,0.11343135501862787,0.9221099963963719,0.07719729924858945,0.016666666666666666,0.27463568363870894,0.26418567895889283,0.2857142857142857,140
qwen35_4b,empathy_clinical,0.14013216496445452,0.8349863779363917,0.18129036310513022,0.0,0.2762860178947449,0.26045538038015364,0.2857142857142857,140
qwen35_4b,formality_request,0.12335775911838799,0.9098790102850013,0.11995490847816717,0.016666666666666666,0.27643911923680986,0.26085036780153004,0.3,140
qwen35_9b,emotion_apology,0.0894147595576341,0.9509148549919911,0.12206394411087189,0.06666666666666667,0.2757492105875696,0.2681891285947391,0.2857142857142857,140
qwen35_9b,empathy_clinical,0.09978647611097317,0.9432627619535587,0.1717730209182859,0.15,0.25942307710647583,0.24939250754458564,0.29285714285714287,140
qwen35_9b,formality_request,0.06013258460500029,0.970502158837012,0.1308720394042491,0.11666666666666667,0.27223292301808083,0.2681457386485168,0.2857142857142857,140
