model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,nearest_neighbor_mean_rank,n,judge_mae,judge_spearman,content_preservation_mean,naturalness_mean,endpoint_attraction,parse_ok_rate,pairwise_monotonic_violation,pairwise_tie_rate
qwen35_35b_a3b,0.087703098775406,0.9423233615415456,0.0277777777777777,0.24744675510696,0.2394519377677213,0.288095238095238,2.592857142857143,420,0.1540238095238095,0.8336367551522488,5.0,4.595238095238095,0.4333333333333333,1.0,0.2074074074074074,0.0
qwen35_4b,0.1256404263671567,0.8869585421193699,0.0111111111111111,0.2757869402567545,0.2618304757135255,0.2904761904761905,2.966666666666667,420,0.2217857142857142,0.6906525677200822,4.957142857142857,4.433333333333334,0.6277777777777778,1.0,0.1787709497206704,0.0949720670391061
qwen35_9b,0.0831112734245358,0.953106906647035,0.1111111111111111,0.2691350702373754,0.2619091249292805,0.288095238095238,2.571428571428572,420,0.1258809523809524,0.8840711599949969,4.980952380952381,4.411904761904762,0.6222222222222222,1.0,0.1333333333333333,0.0833333333333333
