model,metric,mean,ci95_low,ci95_high,bootstrap_unit,iterations
qwen35_35b_a3b,projection_mae,0.08770309877540608,0.07982627362879736,0.09603358025870158,scenario,1000
qwen35_4b,projection_mae,0.12564042636715678,0.11796883189991114,0.1334394220056064,scenario,1000
qwen35_9b,projection_mae,0.08311127342453585,0.07441767966114293,0.09312435473131282,scenario,1000
qwen35_35b_a3b,judge_mae,0.1540238095238095,0.12530892857142856,0.18498690476190474,scenario,1000
qwen35_4b,judge_mae,0.2217857142857143,0.19130059523809523,0.2520505952380952,scenario,1000
qwen35_9b,judge_mae,0.12588095238095237,0.11023333333333332,0.14309821428571426,scenario,1000
