model_id,metric,estimate,ci_lower,ci_upper,scenario_count,bootstrap_iterations
qwen35_35b_a3b,content_coverage_rate,0.9962177579365079,0.9945560515873015,0.9976934523809524,320,10000
qwen35_35b_a3b,added_key_information,0.010416666666666666,0.007291666666666666,0.014136904761904762,320,10000
qwen35_35b_a3b,task_result_changed_by_addition,0.005357142857142857,0.002976190476190476,0.00818452380952381,320,10000
qwen35_35b_a3b,factual_contradiction,0.0016369047619047617,0.000744047619047619,0.002678571428571428,320,10000
qwen35_35b_a3b,content_preservation_pass,0.981547619047619,0.9751488095238094,0.9870572916666667,320,10000
qwen35_35b_a3b,naturalness,4.277678571428572,4.240026041666666,4.31443824404762,320,10000
qwen35_35b_a3b,style_scalar_absolute_error,0.22744791666666667,0.2207214781746032,0.23414942956349205,320,10000
qwen35_35b_a3b,repetition_rate,0.221120354691061,0.2172862424760482,0.2250386879820829,320,10000
qwen35_35b_a3b,distinct_2,0.9596290002294683,0.9577421695764359,0.9613815604902257,320,10000
qwen35_35b_a3b,distinct_3,0.9942566840730767,0.9935196694762579,0.9949244013353233,320,10000
qwen35_35b_a3b,truncated,0.0001488095238095238,0.0,0.0004464285714285714,320,10000
qwen35_35b_a3b,format_anomaly,0.0,0.0,0.0,320,10000
qwen35_4b,content_coverage_rate,0.9957589285714287,0.9938616071428573,0.9973961433531748,320,10000
qwen35_4b,added_key_information,0.008779761904761905,0.00625,0.011458333333333333,320,10000
qwen35_4b,task_result_changed_by_addition,0.004910714285714285,0.003125,0.006845238095238096,320,10000
qwen35_4b,factual_contradiction,0.0019345238095238096,0.0008928571428571428,0.0032738095238095235,320,10000
qwen35_4b,content_preservation_pass,0.9805059523809525,0.9741071428571427,0.9861607142857143,320,10000
qwen35_4b,naturalness,4.438988095238095,4.411901041666666,4.466071428571429,320,10000
qwen35_4b,style_scalar_absolute_error,0.2951264880952381,0.288558841765873,0.30170895337301595,320,10000
qwen35_4b,repetition_rate,0.1992536002594416,0.19545179392183845,0.20311920541772574,320,10000
