scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_35b_a3b,all,style_scalar_mae,temperature_low_minus_high,-0.0033194444444444456,-0.01279166666666667,0.0054586805555555526,-0.1072277398951409,40
qwen35_4b,concision_detail,style_scalar_mae,temperature_low_minus_high,0.01433333333333334,-0.010666666666666675,0.04522222222222225,0.37909625573476535,5
qwen35_9b,concision_detail,style_scalar_mae,temperature_low_minus_high,-0.002333333333333339,-0.019555555555555566,0.014777777777777773,-0.09946018499070354,5
qwen36_27b,concision_detail,style_scalar_mae,temperature_low_minus_high,0.006155555555555558,-0.021111111111111115,0.03342222222222223,0.17191146508093594,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,temperature_low_minus_high,-0.0072222222222222045,-0.03011111111111109,0.019111111111111127,-0.23316744641264,5
qwen35_4b,emotion_apology,style_scalar_mae,temperature_low_minus_high,0.009222222222222227,-0.04777777777777777,0.06622222222222222,0.12674045398872527,5
qwen35_9b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.02433333333333334,-0.04055555555555555,-0.010888888888888892,-1.3086584879291174,5
qwen36_27b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.04664444444444443,-0.062444444444444434,-0.026755555555555553,-2.07406156224375,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.006555555555555556,-0.026000000000000002,0.017555555555555567,-0.23309508859308556,5
qwen35_4b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,-0.0035555555555555653,-0.028333333333333332,0.016666666666666656,-0.11694887858811918,5
qwen35_9b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,-0.0036666666666666714,-0.009777777777777778,0.002333333333333345,-0.4663408510049555,5
qwen36_27b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,0.030622222222222224,0.0007333333333333379,0.06,0.7967704274951494,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,0.0014444444444444518,-0.018999999999999993,0.022444444444444444,0.05410447287600489,5
qwen35_4b,expertise_explain,style_scalar_mae,temperature_low_minus_high,-0.008111111111111121,-0.07100000000000002,0.07188888888888888,-0.08388131438352464,5
qwen35_9b,expertise_explain,style_scalar_mae,temperature_low_minus_high,0.025,0.008111111111111109,0.04188888888888889,1.1446639597358754,5
qwen36_27b,expertise_explain,style_scalar_mae,temperature_low_minus_high,-0.022666666666666665,-0.04588888888888889,0.0005555555555555647,-0.7544954527875799,5
qwen36_35b_a3b,expertise_explain,style_scalar_mae,temperature_low_minus_high,0.01077777777777777,-0.010777777777777794,0.03177777777777777,0.36948694645193436,5
qwen35_4b,formality_request,style_scalar_mae,temperature_low_minus_high,-0.011777777777777776,-0.03877777777777778,0.01899999999999999,-0.31883484611484625,5
qwen35_9b,formality_request,style_scalar_mae,temperature_low_minus_high,0.00788888888888889,-0.0026666666666666687,0.017999999999999988,0.6342826225991103,5
qwen36_27b,formality_request,style_scalar_mae,temperature_low_minus_high,0.034244444444444445,0.003288888888888884,0.06733333333333333,0.8966211340280005,5
qwen36_35b_a3b,formality_request,style_scalar_mae,temperature_low_minus_high,-0.008888888888888887,-0.026666666666666672,0.007666666666666669,-0.39288210203045604,5
qwen35_4b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.0020000000000000104,-0.03266666666666666,0.0388888888888889,0.045111861030698135,5
qwen35_9b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.007333333333333329,-0.009777777777777774,0.028666666666666646,0.3015853086392183,5
qwen36_27b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.010555555555555561,0.001111111111111121,0.021777777777777785,0.8105312292079708,5
