scope,encoder_id,metric,predictor,model_count,spearman_rho,regression_slope,slope_ci_lower,slope_ci_upper,r_squared,causal_interpretation_allowed
Qwen3.5,multilingual_e5_large_instruct,interior_calibration_error,log_total_parameters,3,-0.5,-0.0042901227615782895,-0.0070449964488089375,-0.0014888188322339894,0.04525941119425636,False
Qwen3.5,multilingual_e5_large_instruct,interior_calibration_error,log_active_parameters,3,-0.5,-0.031702854835237396,-0.03608319761657045,-0.02725908557859214,0.6678123723993494,False
Qwen3.5,multilingual_e5_large_instruct,normalized_off_axis_drift,log_total_parameters,3,-1.0,-0.03251288911638335,-0.03784181485642597,-0.027193536698164475,0.6195273587462485,False
Qwen3.5,multilingual_e5_large_instruct,normalized_off_axis_drift,log_active_parameters,3,0.5,-0.020798994298713427,-0.030346980081828186,-0.011126347982256571,0.06850500338885668,False
Qwen3.5,multilingual_e5_large_instruct,spearman_monotonicity,log_total_parameters,3,0.5,0.05001930884148867,0.02624938586514281,0.07415610155798534,0.1917520444525862,False
Qwen3.5,multilingual_e5_large_instruct,spearman_monotonicity,log_active_parameters,3,0.5,0.14451058770211228,0.11268418521184087,0.17653097424227948,0.4324662505933683,False
Qwen3.5,text2vec_base_chinese,interior_calibration_error,log_total_parameters,3,-0.5,-0.005863229616444369,-0.008503392120073042,-0.0032141322714433892,0.07679119822472058,False
Qwen3.5,text2vec_base_chinese,interior_calibration_error,log_active_parameters,3,-0.5,-0.031633152250982836,-0.035755920850624796,-0.027430577881230326,0.6039637027222398,False
Qwen3.5,text2vec_base_chinese,normalized_off_axis_drift,log_total_parameters,3,-1.0,-0.03212146905806987,-0.037135099508625466,-0.027202608091235415,0.7348380887410286,False
Qwen3.5,text2vec_base_chinese,normalized_off_axis_drift,log_active_parameters,3,0.5,-0.010134380292756578,-0.018727205075035242,-0.0012106098592105407,0.01976439436995925,False
Qwen3.5,text2vec_base_chinese,spearman_monotonicity,log_total_parameters,3,0.5,0.0467597381375802,0.024477166584604186,0.06872872121446809,0.1937140932607544,False
Qwen3.5,text2vec_base_chinese,spearman_monotonicity,log_active_parameters,3,0.5,0.13402412025865387,0.10337980811448037,0.16513911220615127,0.4300027806372597,False
