Axis,Model,Projection MAE,Projection Spearman,Off-axis drift,NN mean rank,Length violation rate
Detail,Qwen3.5-9B,0.18679901930723086,0.7166975468912359,0.22089178318689973,3.569642857142857,0.0821428571428571
Detail,Qwen3.5-35B-A3B,0.19063019268439746,0.7115493019602084,0.2152172137606179,3.6363095238095235,0.05595238095238093
Detail,Qwen3.5-4B,0.21099755977255635,0.6418819034723577,0.220552997632573,3.7642857142857142,0.08690476190476185
Emotion,Qwen3.5-9B,0.10258691002333284,0.9214885455175628,0.26401877915043204,2.811309523809524,0.12023809523809521
Emotion,Qwen3.5-35B-A3B,0.1157420744723424,0.9099002270005044,0.2439386274222107,2.7696428571428573,0.21904761904761902
Emotion,Qwen3.5-4B,0.15389028955308703,0.8499284614644615,0.2592616189182514,3.1101190476190474,0.3547619047619047
Empathy,Qwen3.5-9B,0.11822349478397409,0.9110974444891884,0.25900984234398317,2.802380952380952,0.11904761904761903
Empathy,Qwen3.5-35B-A3B,0.12782092241942294,0.9004656867789074,0.25294946636117643,2.811309523809524,0.14880952380952378
Empathy,Qwen3.5-4B,0.14106370538896884,0.8478411326661102,0.25794764015646204,3.182142857142857,0.1821428571428571
Expertise,Qwen3.5-9B,0.08477951071457705,0.9552837118368105,0.31345053337337003,2.5785714285714287,0.16785714285714284
Expertise,Qwen3.5-35B-A3B,0.11802746972310815,0.9245160841557132,0.28439746737657556,2.661309523809524,0.20476190476190473
Expertise,Qwen3.5-4B,0.12345003567641459,0.9024545599780056,0.31197837849280663,2.825595238095238,0.36547619047619045
Formality,Qwen3.5-9B,0.08197048092744436,0.9442864512490123,0.24881427695176425,2.6535714285714285,0.1547619047619047
Formality,Qwen3.5-35B-A3B,0.08916813509123006,0.937498965777843,0.23648442207347775,2.6940476190476192,0.2976190476190476
Formality,Qwen3.5-4B,0.13735898071328806,0.8736458581172527,0.2551988901570439,3.0839285714285714,0.21904761904761902
Humor,Qwen3.5-9B,0.13609702624755846,0.874312818385642,0.3020425393822647,3.229166666666667,0.14285714285714282
Humor,Qwen3.5-35B-A3B,0.1448205307599728,0.8489317587320253,0.27711849241029646,3.0976190476190473,0.1369047619047619
Humor,Qwen3.5-4B,0.157331391715762,0.8187457714931843,0.2830825951659963,3.2892857142857146,0.2202380952380952
Objectivity,Qwen3.5-9B,0.08047360438948875,0.9500304529902894,0.29366162720890265,2.557142857142857,0.1583333333333333
Objectivity,Qwen3.5-35B-A3B,0.1327236288194309,0.9100905233583547,0.2847363736923961,2.7535714285714286,0.31190476190476185
Objectivity,Qwen3.5-4B,0.1470930932695216,0.8509601174341981,0.26835039091917373,3.170238095238095,0.22976190476190475
Politeness,Qwen3.5-35B-A3B,0.1506435006296121,0.8204424587490321,0.25978358042027266,3.2505952380952383,0.22738095238095232
Politeness,Qwen3.5-9B,0.15479844112229085,0.8158961037016543,0.27755635716908034,3.3541666666666665,0.1547619047619047
Politeness,Qwen3.5-4B,0.18879553969071006,0.7078077000944326,0.2736145878565453,3.595833333333333,0.2809523809523809
