Embedding,Model,Projection MAE,Projection Spearman,Off-axis drift,Normalized drift
bge_m3,Qwen3.5-9B,0.12566427188902,0.877568769400004,0.2844825107282737,0.4992487524075504
bge_m3,Qwen3.5-35B-A3B,0.1400224654341534,0.84962070225834,0.2701431980805605,0.4894548640358422
bge_m3,Qwen3.5-4B,0.164475516016971,0.7927705707011706,0.2726863579880003,0.5324228185370988
text2vec,Qwen3.5-9B,0.1107678499899543,0.9029087215917304,0.2603789239634005,0.4701359840237672
text2vec,Qwen3.5-35B-A3B,0.1273716482157258,0.8783713601275486,0.2435132127986954,0.4559478072933173
text2vec,Qwen3.5-4B,0.1505196329281062,0.8271941764317637,0.2598104168367128,0.5141199009265436
