Model,Embedding,NN mean rank,NN top-1 accuracy,Out-of-range rate,Low-alpha over-shoot rate,High-alpha under-shoot rate
Qwen3.5-9B,bge_m3,3.0150297619047617,0.2875,0.0008928571428571428,0.1438988095238095,0.14791666666666667
Qwen3.5-35B-A3B,bge_m3,3.019791666666667,0.28720238095238093,0.000744047619047619,0.17693452380952382,0.15997023809523808
Qwen3.5-4B,bge_m3,3.313392857142857,0.2869047619047619,0.000744047619047619,0.1575892857142857,0.22931547619047618
Qwen3.5-9B,text2vec,2.8739583333333334,0.2912202380952381,0.0013392857142857143,0.13363095238095238,0.10625
Qwen3.5-35B-A3B,text2vec,2.8988095238095237,0.2918154761904762,0.0005952380952380953,0.16979166666666667,0.12604166666666666
Qwen3.5-4B,text2vec,3.1919642857142856,0.2892857142857143,0.0013392857142857143,0.1513392857142857,0.20595238095238094
