Model,Projection MAE,Interpolation distance,Off-axis drift,Normalized drift,Out-of-range rate
Qwen3.5-9B,0.11821606093948714,0.2840467039695276,0.2724307173458371,0.4846923682156588,0.0011160714285713999
Qwen3.5-35B-A3B,0.1336970568249396,0.27189144063630094,0.2568282054396279,0.4727013356645797,0.0006696428571428
Qwen3.5-4B,0.1574975744725386,0.28364090495798294,0.26624838741235657,0.5232713597318213,0.00104166666666665
