Model,n,Mean Chinese chars,Length violation rate,Too short rate,Too long rate,Length-compliant Projection MAE,Length-error vs Projection-error Pearson,Length-error vs Projection-error Spearman
Qwen3.5-9B,6720,112.71979166666668,0.1375,0.0532738095238095,0.0842261904761904,0.11819692006578185,0.00934479709824795,0.01365310171739735
Qwen3.5-35B-A3B,6720,121.98273809523808,0.200297619047619,0.028125,0.172172619047619,0.13396912697787083,0.00795440856469785,0.0261803658403591
Qwen3.5-4B,6720,102.73541666666668,0.2424107142857142,0.1706845238095238,0.0717261904761904,0.15424867335651898,0.04149984541539625,0.052844363159145855
