Model,Scalar judge MAE,Scalar judge Spearman,Higher-alpha win rate,Pairwise monotonic violation,Bidirectional consistency,Tie rate,Judge model
Qwen3.5-9B,0.1754017857142857,0.7682377515176535,0.7091435185185185,0.2071687370600414,0.8439814814814814,0.1055555555555555,qwen35_35b_a3b / qwen35_35b_a3b
Qwen3.5-35B-A3B,0.1824181547619047,0.7562742207089901,0.7510416666666667,0.2487844408427876,0.7060185185185185,0.0002314814814814,qwen35_9b / qwen35_9b
Qwen3.5-4B,0.2442395833333333,0.5891930642645209,0.6447505498321565,0.2746451360854278,0.8270432970595045,0.1111239726820233,qwen35_35b_a3b / qwen35_35b_a3b
