Model,Projection MAE mean across embeddings,Projection Spearman mean across embeddings,Interpolation distance,Off-axis drift,Normalized drift,NN mean rank,Out-of-range rate,Length violation rate
Qwen3.5-9B,0.11821606093948714,0.8902387454958671,0.2840467039695276,0.2724307173458371,0.4846923682156588,2.9444940476190475,0.0011160714285713999,0.1375
Qwen3.5-35B-A3B,0.1336970568249396,0.8639960311929442,0.27189144063630094,0.2568282054396279,0.4727013356645797,2.9593005952380955,0.0006696428571428,0.200297619047619
Qwen3.5-4B,0.1574975744725386,0.8099823735664672,0.28364090495798294,0.26624838741235657,0.5232713597318213,3.2526785714285715,0.00104166666666665,0.2424107142857142
