model,axis_id,judge_mae,judge_spearman,smoothness,endpoint_attraction,content_preservation_mean,n
qwen35_35b_a3b,emotion_apology,0.09821428571428571,0.9081027644054097,0.19299999999999998,0.31666666666666665,5.0,140
qwen35_35b_a3b,empathy_clinical,0.2471428571428572,0.8653106453687319,0.07199999999999991,0.38333333333333336,5.0,140
qwen35_35b_a3b,formality_request,0.11671428571428574,0.8826122270570835,0.11750000000000001,0.6,5.0,140
qwen35_4b,emotion_apology,0.1842857142857143,0.821123904566829,0.164,0.6,4.928571428571429,140
qwen35_4b,empathy_clinical,0.3339285714285714,0.7526194672938048,0.043500000000000025,0.8,5.0,140
qwen35_4b,formality_request,0.14714285714285716,0.881695652130174,0.2895,0.48333333333333334,4.942857142857143,140
qwen35_9b,emotion_apology,0.1192857142857143,0.9172654662441316,0.11850000000000001,0.45,4.942857142857143,140
qwen35_9b,empathy_clinical,0.17035714285714285,0.8636339383560623,0.2960000000000001,0.8166666666666667,5.0,140
qwen35_9b,formality_request,0.088,0.9195039600674448,0.20639999999999992,0.6,5.0,140
