model,axis_id,projection_mae,projection_spearman,smoothness,endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,n
qwen35_35b_a3b,emotion_apology,0.13910403409477098,0.9336319398346195,0.20371591963411034,0.0,0.692635640501976,0.6671672689063208,0.2857142857142857,140
qwen35_35b_a3b,empathy_clinical,0.14381900239238865,0.9458629259459901,0.17955992231861093,0.0,0.7201254759516035,0.6910618671349117,0.2857142857142857,140
qwen35_35b_a3b,formality_request,0.12136784433020295,0.9397474328903048,0.17896231557124861,0.0,0.7061758156333651,0.6831460352454867,0.2857142857142857,140
qwen35_4b,emotion_apology,0.1589025617058317,0.8776175686579081,0.1562160369810198,0.0,0.7143424881356103,0.6831986388989857,0.2857142857142857,140
qwen35_4b,empathy_clinical,0.17366096964415687,0.7886327131809802,0.20818595054148464,0.0,0.7420974220548358,0.7048395037651062,0.2857142857142857,140
qwen35_4b,formality_request,0.15629718967580727,0.8949004838152795,0.1727878672114191,0.0,0.7126734784671238,0.6782718577555248,0.2857142857142857,140
qwen35_9b,emotion_apology,0.14489850782934657,0.9323911151566544,0.17473204652347984,0.0,0.727874310527529,0.6996979951858521,0.2857142857142857,140
qwen35_9b,empathy_clinical,0.13761182065242983,0.9440903192631828,0.19127998818476688,0.0,0.7321049230439323,0.7054096145289285,0.2857142857142857,140
qwen35_9b,formality_request,0.11086869442805798,0.9652729691227303,0.16427926027184397,0.0,0.7206627126250948,0.7010947291340147,0.2857142857142857,140
