model,pairwise_monotonic_violation,pairwise_tie_rate,parse_ok_rate,n
qwen35_35b_a3b,0.0,0.0,1.0,540
qwen35_4b,0.0,0.0,1.0,540
qwen35_9b,0.0,0.0,1.0,540
