model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,nearest_neighbor_mean_rank,n,judge_mae,judge_spearman,content_preservation_mean,naturalness_mean,endpoint_attraction,parse_ok_rate,pairwise_monotonic_violation,pairwise_tie_rate
qwen35_35b_a3b,0.1347636269391209,0.9229123285615892,0.0,0.7063123106956481,0.6804583904289064,0.2857142857142857,3.023809523809524,420,0.1540238095238095,0.8336367551522488,5.0,4.595238095238095,0.4333333333333333,1.0,0.0,0.0
qwen35_4b,0.1629535736752653,0.8473512758716003,0.0,0.72303779621919,0.6887700001398722,0.2857142857142857,3.3523809523809525,420,0.2217857142857142,0.6906525677200822,4.957142857142857,4.433333333333334,0.6277777777777778,1.0,0.0,0.0
qwen35_9b,0.1311263409699448,0.9443605199806948,0.0,0.7268806487321854,0.7020674462829317,0.2857142857142857,3.0142857142857142,420,0.1258809523809524,0.8840711599949969,4.980952380952381,4.411904761904762,0.6222222222222222,1.0,0.0,0.0
