model,judge_mae,judge_spearman,content_preservation_mean,naturalness_mean,endpoint_attraction,parse_ok_rate,n
qwen35_35b_a3b,0.1540238095238095,0.8336367551522488,5.0,4.595238095238095,0.43333333333333335,1.0,420
qwen35_4b,0.22178571428571425,0.6906525677200822,4.957142857142857,4.433333333333334,0.6277777777777778,1.0,420
qwen35_9b,0.1258809523809524,0.8840711599949969,4.980952380952381,4.411904761904762,0.6222222222222222,1.0,420
