embedding_model,model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_mean_rank,projection_n,judge_mae,judge_spearman,content_preservation_mean,naturalness_mean,judge_endpoint_attraction,parse_ok_rate,judge_n
/home/data_cpfs/zicheng/models/bge-m3 (cls),qwen35_35b_a3b,0.1339270597274563,0.8635764295065089,0.0035714285714285713,0.26581660771653737,0.24951011978444565,2.8845238095238095,840.0,0.13573809523809524,0.8534110788624948,4.996428571428571,4.479761904761904,0.1738095238095238,1.0,840.0
/home/data_cpfs/zicheng/models/bge-m3 (cls),qwen35_4b,0.1591976140311811,0.8094344842463779,0.008333333333333333,0.26789446751631407,0.24944406173058883,3.275,840.0,0.21180952380952384,0.6795284450545251,4.988095238095238,4.328571428571428,0.2511904761904762,1.0,840.0
/home/data_cpfs/zicheng/models/bge-m3 (cls),qwen35_9b,0.12064792004091206,0.8891171420313833,0.009523809523809525,0.2775810824795845,0.2652044578677129,2.95,840.0,0.1488095238095238,0.8173361645457703,4.996428571428571,4.429761904761905,0.27976190476190477,1.0,840.0
/home/data_cpfs/zicheng/models/text2vec-base-chinese (mean),qwen35_35b_a3b,0.10011148129060224,0.9209606611350836,0.009523809523809525,0.2518863288242189,0.24071756172038225,2.6297619047619047,840.0,0.13573809523809524,0.8534110788624948,4.996428571428571,4.479761904761904,0.1738095238095238,1.0,840.0
/home/data_cpfs/zicheng/models/text2vec-base-chinese (mean),qwen35_4b,0.14215393087352482,0.8563035945894382,0.013095238095238096,0.27446461050283305,0.2569088547002698,3.0654761904761907,840.0,0.21180952380952384,0.6795284450545251,4.988095238095238,4.328571428571428,0.2511904761904762,1.0,840.0
/home/data_cpfs/zicheng/models/text2vec-base-chinese (mean),qwen35_9b,0.09142249820109637,0.9320839682490799,0.015476190476190477,0.2632268918412069,0.25419697163715216,2.630952380952381,840.0,0.1488095238095238,0.8173361645457703,4.996428571428571,4.429761904761905,0.27976190476190477,1.0,840.0
