model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,nearest_neighbor_mean_rank,n
qwen35_35b_a3b,0.1339270597274563,0.863576429506509,0.0527777777777777,0.2658166077165376,0.2495101197844459,0.2857142857142857,2.884523809523809,840
qwen35_4b,0.159197614031181,0.8094344842463779,0.0666666666666666,0.2678944675163144,0.2494440617305892,0.2857142857142857,3.275,840
qwen35_9b,0.120647920040912,0.8891171420313834,0.0694444444444444,0.2775810824795848,0.2652044578677132,0.2869047619047619,2.95,840
