model,axis_id,length_violation,n,mean_zh_chars,projection_abs_error
qwen35_35b_a3b,emotion_apology,False,226,114.5,0.12257526070925588
qwen35_35b_a3b,emotion_apology,True,54,133.1851851851852,0.18068554683898608
qwen35_35b_a3b,empathy_clinical,False,241,124.46058091286307,0.1580184439921034
qwen35_35b_a3b,empathy_clinical,True,39,152.53846153846155,0.12106004985724582
qwen35_35b_a3b,formality_request,False,199,102.06532663316582,0.11157192273258557
qwen35_35b_a3b,formality_request,True,81,140.60493827160494,0.1238654586562
qwen35_4b,emotion_apology,False,181,100.03314917127072,0.1716456151794996
qwen35_4b,emotion_apology,True,99,76.47474747474747,0.16725867742421072
qwen35_4b,empathy_clinical,False,229,105.40174672489083,0.16662057925106216
qwen35_4b,empathy_clinical,True,51,77.90196078431373,0.1446236509524094
qwen35_4b,formality_request,False,211,95.72511848341232,0.1378978588626473
qwen35_4b,formality_request,True,69,119.1304347826087,0.166248743574219
qwen35_9b,emotion_apology,False,254,106.5984251968504,0.12303725622947405
qwen35_9b,emotion_apology,True,26,102.15384615384616,0.12715246792782176
qwen35_9b,empathy_clinical,False,250,114.232,0.13495739705859022
qwen35_9b,empathy_clinical,True,30,143.13333333333333,0.12098112505287369
qwen35_9b,formality_request,False,227,95.94273127753304,0.11038232818005565
qwen35_9b,formality_request,True,53,101.49056603773585,0.08228781269528224
