model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,nearest_neighbor_mean_rank,n
qwen35_35b_a3b,0.1339270597274563,0.863576429506509,0.05277777777777778,0.26581660771653765,0.24951011978444598,0.2857142857142857,2.8845238095238095,840
qwen35_4b,0.15919761403118107,0.8094344842463779,0.06666666666666667,0.2678944675163144,0.2494440617305892,0.2857142857142857,3.275,840
qwen35_9b,0.12064792004091206,0.8891171420313834,0.06944444444444445,0.2775810824795848,0.2652044578677132,0.2869047619047619,2.95,840
