model,metric,mean,ci95_low,ci95_high,bootstrap_unit,iterations
qwen35_35b_a3b,projection_mae,0.1339270597274563,0.12540611640251217,0.14284180096788343,scenario,1000
qwen35_4b,projection_mae,0.15919761403118107,0.15048198805462923,0.16798014480853427,scenario,1000
qwen35_9b,projection_mae,0.12064792004091206,0.11201431171398803,0.1295996526149625,scenario,1000
