model,axis_id,judge_mae,judge_spearman,smoothness,endpoint_attraction,content_preservation_mean,n
qwen35_9b,concision_detail,0.40476190476190477,0.30304576336566325,0.02666666666666666,0.6666666666666666,5.0,21
qwen35_9b,emotion_apology,0.11071428571428574,0.8505307024113805,0.165,0.3333333333333333,5.0,14
qwen35_9b,empathy_clinical,0.1357142857142857,0.9183336214098013,0.13499999999999998,0.5,5.0,14
qwen35_9b,expertise_explain,0.0976190476190476,0.9243101245519312,0.16333333333333339,0.1111111111111111,5.0,21
qwen35_9b,formality_request,0.07499999999999998,0.9064657083877455,0.16999999999999998,0.5,5.0,14
qwen35_9b,humor_neutral,0.10714285714285714,0.9501570637358835,0.23999999999999994,0.16666666666666666,5.0,14
qwen35_9b,objectivity_cat,0.13214285714285715,0.9071147352221454,0.37,0.6666666666666666,5.0,14
qwen35_9b,politeness_refusal,0.3571428571428572,0.7658753795186973,0.38,1.0,5.0,14
