model,metric,mean,ci95_low,ci95_high,bootstrap_unit,iterations
qwen35_35b_a3b,projection_mae,0.12152893394087858,0.11138080252418951,0.1311788667422625,scenario,1000
qwen35_4b,projection_mae,0.15482996345638414,0.14600160579526114,0.16485863765320513,scenario,1000
qwen35_9b,projection_mae,0.11737424694408183,0.10539758323361033,0.12950118637751076,scenario,1000
qwen35_35b_a3b,judge_mae,0.1540238095238095,0.12530892857142856,0.18498690476190474,scenario,1000
qwen35_4b,judge_mae,0.2217857142857143,0.19130059523809523,0.2520505952380952,scenario,1000
qwen35_9b,judge_mae,0.12588095238095237,0.11023333333333332,0.14309821428571426,scenario,1000
