model_id,encoder_id,estimation_method,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen36_27b,bge_m3,endpoint_distance_ratio_mae,0.1845150663515572,0.18290172307279354,0.186087280133599,320,mae
qwen36_27b,bge_m3,interior_calibration_error,0.18965391375162857,0.1855140278966375,0.19385123060842,320,mae
qwen36_27b,bge_m3,isotonic_cv_mae,0.16833903196147054,0.16464994741765226,0.17200830339615075,320,mae
qwen36_27b,bge_m3,length_only_cv_mae,0.20133412046916824,0.2005775823346445,0.2021669425437126,320,mae
qwen36_27b,multilingual_e5_large_instruct,constant_half_mae,0.19999999999999998,0.2,0.2,320,mae
qwen36_27b,multilingual_e5_large_instruct,endpoint_distance_ratio_mae,0.1759741201622777,0.17386069190090447,0.17804992918153317,320,mae
qwen36_27b,multilingual_e5_large_instruct,interior_calibration_error,0.1895093792013482,0.18497417352330256,0.19391797564174573,320,mae
qwen36_27b,multilingual_e5_large_instruct,isotonic_cv_mae,0.16026978581437146,0.15619849463830954,0.16432172998012612,320,mae
qwen36_27b,multilingual_e5_large_instruct,length_only_cv_mae,0.20133412046916824,0.20059696716005068,0.20217901938588795,320,mae
qwen36_27b,text2vec_base_chinese,constant_half_mae,0.19999999999999998,0.2,0.2,320,mae
qwen36_27b,text2vec_base_chinese,endpoint_distance_ratio_mae,0.17567001081993466,0.17359757997357259,0.17770714002525326,320,mae
qwen36_27b,text2vec_base_chinese,interior_calibration_error,0.1885392626725611,0.18418683857681947,0.19295320013555786,320,mae
qwen36_27b,text2vec_base_chinese,isotonic_cv_mae,0.1578089086845908,0.15392045861894182,0.16172365252878973,320,mae
qwen36_27b,text2vec_base_chinese,length_only_cv_mae,0.20133412046916824,0.20059346550963303,0.20219815903085953,320,mae
qwen36_35b_a3b,bge_m3,constant_half_mae,0.19999999999999998,0.2,0.2,320,mae
qwen36_35b_a3b,bge_m3,endpoint_distance_ratio_mae,0.18191110574601707,0.1803453256703238,0.1834663792060697,320,mae
qwen36_35b_a3b,bge_m3,interior_calibration_error,0.1781969512556854,0.17430862830853042,0.18218389824840148,320,mae
qwen36_35b_a3b,bge_m3,isotonic_cv_mae,0.15832159340929705,0.15432676371215515,0.1623321640972728,320,mae
qwen36_35b_a3b,bge_m3,length_only_cv_mae,0.20339261726971106,0.20219670403873216,0.20457385264411637,320,mae
qwen36_35b_a3b,multilingual_e5_large_instruct,constant_half_mae,0.19999999999999998,0.2,0.2,320,mae
qwen36_35b_a3b,multilingual_e5_large_instruct,endpoint_distance_ratio_mae,0.17276579342308482,0.17098052952555295,0.17459067985558396,320,mae
qwen36_35b_a3b,multilingual_e5_large_instruct,interior_calibration_error,0.17367725650090032,0.16943374092878116,0.178017898787083,320,mae
qwen36_35b_a3b,multilingual_e5_large_instruct,isotonic_cv_mae,0.1495874233992649,0.14549200626112638,0.15369434847852925,320,mae
qwen36_35b_a3b,multilingual_e5_large_instruct,length_only_cv_mae,0.20339261726971106,0.20217872835644823,0.20460513607943384,320,mae
qwen36_35b_a3b,text2vec_base_chinese,constant_half_mae,0.19999999999999998,0.2,0.2,320,mae
qwen36_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio_mae,0.17169770530796796,0.16992077470500178,0.17347037801865045,320,mae
qwen36_35b_a3b,text2vec_base_chinese,interior_calibration_error,0.16647974551020303,0.16243593338722448,0.1705981807856204,320,mae
qwen36_35b_a3b,text2vec_base_chinese,isotonic_cv_mae,0.14310341466493842,0.13892953021545226,0.14733898048016753,320,mae
qwen36_35b_a3b,text2vec_base_chinese,length_only_cv_mae,0.20339261726971106,0.20220657020828012,0.20461302343997662,320,mae
