model_id,encoder_id,metric,estimate,ci_lower,ci_upper
qwen35_9b,text2vec_base_chinese,trajectory_negative_local_slope_count,1.1489583333333333,1.1041666666666665,1.19375
qwen36_27b,bge_m3,trajectory_pca_pc1_explained_variance,0.37209753604993917,0.36648198017201095,0.3778258866822866
qwen36_27b,bge_m3,trajectory_endpoint_pc1_abs_cosine,0.7014467668712011,0.6846718841575516,0.7180606883386665
qwen36_27b,bge_m3,trajectory_ordered_path_length_ratio,4.921261145370779,4.860810306389899,4.983175620008733
qwen36_27b,bge_m3,trajectory_discrete_curvature_mean_degrees,117.98160447759767,117.70999257352976,118.25814814990403
qwen36_27b,bge_m3,trajectory_negative_local_slope_count,1.55,1.5041666666666669,1.596875
qwen36_27b,multilingual_e5_large_instruct,trajectory_pca_pc1_explained_variance,0.4282494322450482,0.4223776456759428,0.4342220199863933
qwen36_27b,multilingual_e5_large_instruct,trajectory_endpoint_pc1_abs_cosine,0.7420005984560994,0.7262524119235181,0.7575026199431397
qwen36_27b,multilingual_e5_large_instruct,trajectory_ordered_path_length_ratio,4.624800212574482,4.561143157492857,4.689394789423092
qwen36_27b,multilingual_e5_large_instruct,trajectory_discrete_curvature_mean_degrees,117.54138186303062,117.21622942573748,117.87747824759145
qwen36_27b,multilingual_e5_large_instruct,trajectory_negative_local_slope_count,1.5041666666666667,1.459375,1.5500000000000003
qwen36_27b,text2vec_base_chinese,trajectory_pca_pc1_explained_variance,0.42257503605449304,0.41669047751426724,0.4287982679545421
qwen36_27b,text2vec_base_chinese,trajectory_endpoint_pc1_abs_cosine,0.7346932539114291,0.7186835979092053,0.7501132133535914
qwen36_27b,text2vec_base_chinese,trajectory_ordered_path_length_ratio,4.715288388529647,4.652662120670916,4.778433775061858
qwen36_27b,text2vec_base_chinese,trajectory_discrete_curvature_mean_degrees,117.76027993966395,117.43154124222707,118.0802678796938
qwen36_27b,text2vec_base_chinese,trajectory_negative_local_slope_count,1.5239583333333333,1.4770833333333333,1.5698177083333331
qwen36_35b_a3b,bge_m3,trajectory_pca_pc1_explained_variance,0.35985679903624745,0.35494284016895394,0.3648675384765231
