model_id,encoder_id,metric,mean,median,p10,p90,pair_count
qwen35_4b,multilingual_e5_large_instruct,endpoint_content_coverage_mean,0.9927083333333333,1.0,1.0,1.0,960
qwen35_4b,multilingual_e5_large_instruct,endpoint_content_pass_rate,0.9723958333333333,1.0,1.0,1.0,960
qwen35_4b,multilingual_e5_large_instruct,endpoint_contradiction_any,0.0010416666666666667,0.0,0.0,0.0,960
qwen35_4b,multilingual_e5_large_instruct,endpoint_task_changing_addition_any,0.009375,0.0,0.0,0.0,960
qwen35_4b,multilingual_e5_large_instruct,judge_intensity_a,34.921875,10.0,0.0,90.0,960
qwen35_4b,multilingual_e5_large_instruct,judge_intensity_b,84.38020833333333,95.0,60.0,95.0,960
qwen35_4b,multilingual_e5_large_instruct,judge_endpoint_intensity_separation,49.458333333333336,67.5,0.0,95.0,960
qwen35_4b,multilingual_e5_large_instruct,judge_endpoint_absolute_error_mean,0.25270833333333337,0.1625,0.025000000000000022,0.5,960
qwen35_4b,text2vec_base_chinese,endpoint_separation,0.5209025581144809,0.5139289177247688,0.3539212079111112,0.7008230008858732,960
qwen35_4b,text2vec_base_chinese,endpoint_length_difference_b_minus_a,-0.9333333333333333,0.0,-48.0,42.10000000000002,960
qwen35_4b,text2vec_base_chinese,endpoint_length_absolute_difference,28.614583333333332,24.0,4.0,60.0,960
qwen35_4b,text2vec_base_chinese,endpoint_content_coverage_mean,0.9927083333333333,1.0,1.0,1.0,960
qwen35_4b,text2vec_base_chinese,endpoint_content_pass_rate,0.9723958333333333,1.0,1.0,1.0,960
qwen35_4b,text2vec_base_chinese,endpoint_contradiction_any,0.0010416666666666667,0.0,0.0,0.0,960
qwen35_4b,text2vec_base_chinese,endpoint_task_changing_addition_any,0.009375,0.0,0.0,0.0,960
qwen35_4b,text2vec_base_chinese,judge_intensity_a,34.921875,10.0,0.0,90.0,960
qwen35_4b,text2vec_base_chinese,judge_intensity_b,84.38020833333333,95.0,60.0,95.0,960
qwen35_4b,text2vec_base_chinese,judge_endpoint_intensity_separation,49.458333333333336,67.5,0.0,95.0,960
qwen35_4b,text2vec_base_chinese,judge_endpoint_absolute_error_mean,0.25270833333333337,0.1625,0.025000000000000022,0.5,960
qwen35_9b,bge_m3,endpoint_separation,0.578795383417124,0.5734222508725784,0.3901138596615509,0.7845078537103185,960
qwen35_9b,bge_m3,endpoint_length_difference_b_minus_a,10.467708333333333,10.0,-28.0,50.10000000000002,960
qwen35_9b,bge_m3,endpoint_length_absolute_difference,26.096875,21.0,4.0,53.10000000000002,960
qwen35_9b,bge_m3,endpoint_content_coverage_mean,0.9917534722222221,1.0,1.0,1.0,960
qwen35_9b,bge_m3,endpoint_content_pass_rate,0.9703125,1.0,1.0,1.0,960
qwen35_9b,bge_m3,endpoint_contradiction_any,0.0,0.0,0.0,0.0,960
qwen35_9b,bge_m3,endpoint_task_changing_addition_any,0.011458333333333333,0.0,0.0,0.0,960
qwen35_9b,bge_m3,judge_intensity_a,23.046875,10.0,0.0,85.0,960
qwen35_9b,bge_m3,judge_intensity_b,89.796875,95.0,85.0,95.0,960
qwen35_9b,bge_m3,judge_endpoint_intensity_separation,66.75,85.0,5.0,95.0,960
qwen35_9b,bge_m3,judge_endpoint_absolute_error_mean,0.16625000000000004,0.07500000000000002,0.025000000000000022,0.475,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_separation,0.2792543123640994,0.27630639772560694,0.18431394446440674,0.37941087306971677,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_length_difference_b_minus_a,10.467708333333333,10.0,-28.0,50.10000000000002,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_length_absolute_difference,26.096875,21.0,4.0,53.10000000000002,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_content_coverage_mean,0.9917534722222221,1.0,1.0,1.0,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_content_pass_rate,0.9703125,1.0,1.0,1.0,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_contradiction_any,0.0,0.0,0.0,0.0,960
qwen35_9b,multilingual_e5_large_instruct,endpoint_task_changing_addition_any,0.011458333333333333,0.0,0.0,0.0,960
qwen35_9b,multilingual_e5_large_instruct,judge_intensity_a,23.046875,10.0,0.0,85.0,960
qwen35_9b,multilingual_e5_large_instruct,judge_intensity_b,89.796875,95.0,85.0,95.0,960
qwen35_9b,multilingual_e5_large_instruct,judge_endpoint_intensity_separation,66.75,85.0,5.0,95.0,960
qwen35_9b,multilingual_e5_large_instruct,judge_endpoint_absolute_error_mean,0.16625000000000004,0.07500000000000002,0.025000000000000022,0.475,960
qwen35_9b,text2vec_base_chinese,endpoint_separation,0.5613217495738548,0.5713959502718877,0.38917511075559663,0.7177300924792557,960
qwen35_9b,text2vec_base_chinese,endpoint_length_difference_b_minus_a,10.467708333333333,10.0,-28.0,50.10000000000002,960
qwen35_9b,text2vec_base_chinese,endpoint_length_absolute_difference,26.096875,21.0,4.0,53.10000000000002,960
qwen35_9b,text2vec_base_chinese,endpoint_content_coverage_mean,0.9917534722222221,1.0,1.0,1.0,960
qwen35_9b,text2vec_base_chinese,endpoint_content_pass_rate,0.9703125,1.0,1.0,1.0,960
qwen35_9b,text2vec_base_chinese,endpoint_contradiction_any,0.0,0.0,0.0,0.0,960
qwen35_9b,text2vec_base_chinese,endpoint_task_changing_addition_any,0.011458333333333333,0.0,0.0,0.0,960
qwen35_9b,text2vec_base_chinese,judge_intensity_a,23.046875,10.0,0.0,85.0,960
qwen35_9b,text2vec_base_chinese,judge_intensity_b,89.796875,95.0,85.0,95.0,960
qwen35_9b,text2vec_base_chinese,judge_endpoint_intensity_separation,66.75,85.0,5.0,95.0,960
qwen35_9b,text2vec_base_chinese,judge_endpoint_absolute_error_mean,0.16625000000000004,0.07500000000000002,0.025000000000000022,0.475,960
qwen36_27b,bge_m3,endpoint_separation,0.6171033925836079,0.5988869297658086,0.42213010380643307,0.8444342914568542,960
qwen36_27b,bge_m3,endpoint_length_difference_b_minus_a,22.386458333333334,18.0,-51.0,94.10000000000002,960
qwen36_27b,bge_m3,endpoint_length_absolute_difference,55.380208333333336,40.0,6.0,100.0,960
qwen36_27b,bge_m3,endpoint_content_coverage_mean,0.9873697916666667,1.0,1.0,1.0,960
qwen36_27b,bge_m3,endpoint_content_pass_rate,0.9651041666666667,1.0,1.0,1.0,960
qwen36_27b,bge_m3,endpoint_contradiction_any,0.0020833333333333333,0.0,0.0,0.0,960
qwen36_27b,bge_m3,endpoint_task_changing_addition_any,0.004166666666666667,0.0,0.0,0.0,960
qwen36_27b,bge_m3,judge_intensity_a,13.145833333333334,5.0,0.0,60.0,960
qwen36_27b,bge_m3,judge_intensity_b,90.40625,95.0,85.0,95.0,960
qwen36_27b,bge_m3,judge_endpoint_intensity_separation,77.26041666666667,90.0,24.50000000000003,95.0,960
qwen36_27b,bge_m3,judge_endpoint_absolute_error_mean,0.11369791666666669,0.050000000000000024,0.025000000000000022,0.37750000000000056,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_separation,0.29962501543992937,0.3002300897784409,0.19077175766342386,0.3991185092573842,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_length_difference_b_minus_a,22.386458333333334,18.0,-51.0,94.10000000000002,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_length_absolute_difference,55.380208333333336,40.0,6.0,100.0,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_content_coverage_mean,0.9873697916666667,1.0,1.0,1.0,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_content_pass_rate,0.9651041666666667,1.0,1.0,1.0,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_contradiction_any,0.0020833333333333333,0.0,0.0,0.0,960
qwen36_27b,multilingual_e5_large_instruct,endpoint_task_changing_addition_any,0.004166666666666667,0.0,0.0,0.0,960
qwen36_27b,multilingual_e5_large_instruct,judge_intensity_a,13.145833333333334,5.0,0.0,60.0,960
qwen36_27b,multilingual_e5_large_instruct,judge_intensity_b,90.40625,95.0,85.0,95.0,960
qwen36_27b,multilingual_e5_large_instruct,judge_endpoint_intensity_separation,77.26041666666667,90.0,24.50000000000003,95.0,960
qwen36_27b,multilingual_e5_large_instruct,judge_endpoint_absolute_error_mean,0.11369791666666669,0.050000000000000024,0.025000000000000022,0.37750000000000056,960
qwen36_27b,text2vec_base_chinese,endpoint_separation,0.6000771314714605,0.6188955087671346,0.3911808612706145,0.7529983667853027,960
qwen36_27b,text2vec_base_chinese,endpoint_length_difference_b_minus_a,22.386458333333334,18.0,-51.0,94.10000000000002,960
qwen36_27b,text2vec_base_chinese,endpoint_length_absolute_difference,55.380208333333336,40.0,6.0,100.0,960
qwen36_27b,text2vec_base_chinese,endpoint_content_coverage_mean,0.9873697916666667,1.0,1.0,1.0,960
qwen36_27b,text2vec_base_chinese,endpoint_content_pass_rate,0.9651041666666667,1.0,1.0,1.0,960
qwen36_27b,text2vec_base_chinese,endpoint_contradiction_any,0.0020833333333333333,0.0,0.0,0.0,960
qwen36_27b,text2vec_base_chinese,endpoint_task_changing_addition_any,0.004166666666666667,0.0,0.0,0.0,960
qwen36_27b,text2vec_base_chinese,judge_intensity_a,13.145833333333334,5.0,0.0,60.0,960
qwen36_27b,text2vec_base_chinese,judge_intensity_b,90.40625,95.0,85.0,95.0,960
qwen36_27b,text2vec_base_chinese,judge_endpoint_intensity_separation,77.26041666666667,90.0,24.50000000000003,95.0,960
qwen36_27b,text2vec_base_chinese,judge_endpoint_absolute_error_mean,0.11369791666666669,0.050000000000000024,0.025000000000000022,0.37750000000000056,960
qwen36_35b_a3b,bge_m3,endpoint_separation,0.575734196985645,0.5751728273430963,0.3786139036405988,0.766071353859603,960
qwen36_35b_a3b,bge_m3,endpoint_length_difference_b_minus_a,-0.3541666666666667,-2.0,-46.099999999999994,48.0,960
qwen36_35b_a3b,bge_m3,endpoint_length_absolute_difference,29.604166666666668,24.5,4.0,61.0,960
qwen36_35b_a3b,bge_m3,endpoint_content_coverage_mean,0.9923177083333333,1.0,1.0,1.0,960
qwen36_35b_a3b,bge_m3,endpoint_content_pass_rate,0.9744791666666667,1.0,1.0,1.0,960
qwen36_35b_a3b,bge_m3,endpoint_contradiction_any,0.0010416666666666667,0.0,0.0,0.0,960
