model_id,two_encoder_mean_ICE,three_encoder_mean_ICE,three_minus_two,two_encoder_rank,three_encoder_rank
qwen35_35b_a3b,0.18062932483426863,0.1825818609649703,0.0019525361307016764,3.0,3.0
qwen35_4b,0.2017503329726396,0.20183936251777257,8.902954513295702e-05,5.0,5.0
qwen35_9b,0.1549314778508287,0.15609183441386573,0.001160356563037035,1.0,1.0
qwen36_27b,0.1890965882120948,0.18923418520851257,0.00013759699641777146,4.0,4.0
qwen36_35b_a3b,0.1723383483829442,0.17278465108892957,0.00044630270598536304,2.0,2.0
