scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen35_4b,concision_detail,style_scalar_mae,temperature_low_minus_high,0.0143333333333333,-0.0106666666666666,0.0452222222222222,0.3790962557347653,5
qwen35_9b,concision_detail,style_scalar_mae,temperature_low_minus_high,-0.0023333333333333,-0.0195555555555555,0.0147777777777777,-0.0994601849907035,5
qwen36_27b,concision_detail,style_scalar_mae,temperature_low_minus_high,0.0061555555555555,-0.0211111111111111,0.0334222222222222,0.1719114650809359,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,temperature_low_minus_high,-0.0072222222222222,-0.030111111111111,0.0191111111111111,-0.23316744641264,5
qwen35_4b,emotion_apology,style_scalar_mae,temperature_low_minus_high,0.0092222222222222,-0.0477777777777777,0.0662222222222222,0.1267404539887252,5
qwen35_9b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.0243333333333333,-0.0405555555555555,-0.0108888888888888,-1.3086584879291174,5
qwen36_27b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.0466444444444444,-0.0624444444444444,-0.0267555555555555,-2.07406156224375,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,temperature_low_minus_high,-0.0065555555555555,-0.026,0.0175555555555555,-0.2330950885930855,5
qwen35_4b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,-0.0035555555555555,-0.0283333333333333,0.0166666666666666,-0.1169488785881191,5
qwen35_9b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,-0.0036666666666666,-0.0097777777777777,0.0023333333333333,-0.4663408510049555,5
qwen36_27b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,0.0306222222222222,0.0007333333333333,0.06,0.7967704274951494,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,temperature_low_minus_high,0.0014444444444444,-0.0189999999999999,0.0224444444444444,0.0541044728760048,5
qwen35_4b,expertise_explain,style_scalar_mae,temperature_low_minus_high,-0.0081111111111111,-0.071,0.0718888888888888,-0.0838813143835246,5
qwen35_9b,expertise_explain,style_scalar_mae,temperature_low_minus_high,0.025,0.0081111111111111,0.0418888888888888,1.1446639597358754,5
qwen36_27b,expertise_explain,style_scalar_mae,temperature_low_minus_high,-0.0226666666666666,-0.0458888888888888,0.0005555555555555,-0.7544954527875799,5
qwen36_35b_a3b,expertise_explain,style_scalar_mae,temperature_low_minus_high,0.0107777777777777,-0.0107777777777777,0.0317777777777777,0.3694869464519343,5
qwen35_4b,formality_request,style_scalar_mae,temperature_low_minus_high,-0.0117777777777777,-0.0387777777777777,0.0189999999999999,-0.3188348461148462,5
qwen35_9b,formality_request,style_scalar_mae,temperature_low_minus_high,0.0078888888888888,-0.0026666666666666,0.0179999999999999,0.6342826225991103,5
qwen36_27b,formality_request,style_scalar_mae,temperature_low_minus_high,0.0342444444444444,0.0032888888888888,0.0673333333333333,0.8966211340280005,5
qwen36_35b_a3b,formality_request,style_scalar_mae,temperature_low_minus_high,-0.0088888888888888,-0.0266666666666666,0.0076666666666666,-0.392882102030456,5
qwen35_4b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.002,-0.0326666666666666,0.0388888888888889,0.0451118610306981,5
qwen35_9b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.0073333333333333,-0.0097777777777777,0.0286666666666666,0.3015853086392183,5
qwen36_27b,humor_neutral,style_scalar_mae,temperature_low_minus_high,0.0105555555555555,0.0011111111111111,0.0217777777777777,0.8105312292079708,5
qwen36_35b_a3b,humor_neutral,style_scalar_mae,temperature_low_minus_high,-0.0055555555555555,-0.0454444444444444,0.0274444444444444,-0.11718973523813,5
qwen35_4b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.0064444444444444,-0.0101111111111111,0.0199999999999999,0.339230595219665,5
qwen35_9b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.0335555555555555,-0.0004444444444444,0.0617777777777777,0.8287747714927267,5
qwen36_27b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,-0.0062444444444444,-0.0558888888888888,0.0432888888888888,-0.097557506894825,5
qwen36_35b_a3b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.0019999999999999,-0.0342222222222222,0.0323333333333333,0.0483720684769459,5
qwen35_4b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,-0.008,-0.0376666666666666,0.019111111111111,-0.2206316879013158,5
qwen35_9b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,0.0037777777777777,-0.0334444444444444,0.0336666666666666,0.0917688004701137,5
qwen36_27b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,0.0044888888888888,-0.0318666666666666,0.0408444444444444,0.0960558527397482,5
