model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen36_27b,text2vec_base_chinese,0.196797001480623,0.19143562180807588,0.2021366567291852,320,endpoint_line_along_error
qwen36_35b_a3b,bge_m3,0.17855937148606796,0.1739354140611392,0.18318013846511652,320,endpoint_line_along_error
qwen36_35b_a3b,multilingual_e5_large_instruct,0.18183785757671306,0.17693002510161002,0.18690619908778638,320,endpoint_line_along_error
qwen36_35b_a3b,text2vec_base_chinese,0.1697444885623925,0.16500025068952173,0.1745010146004553,320,endpoint_line_along_error
qwen35_35b_a3b,bge_m3,0.7965948849554122,0.7833758339915684,0.8095087733888919,320,empirical_centroid_error
qwen35_35b_a3b,multilingual_e5_large_instruct,0.7344530461241578,0.7211398897261041,0.7478194361614372,320,empirical_centroid_error
qwen35_35b_a3b,text2vec_base_chinese,0.7497854851909503,0.7381272116705684,0.7617430803616854,320,empirical_centroid_error
qwen35_4b,bge_m3,0.9465334767517912,0.9321524014529968,0.961180795967284,320,empirical_centroid_error
qwen35_4b,multilingual_e5_large_instruct,0.9002473522359742,0.8855270765868296,0.914992435659679,320,empirical_centroid_error
qwen35_4b,text2vec_base_chinese,0.9132547166593443,0.8994932751500199,0.9276312209320313,320,empirical_centroid_error
qwen35_9b,bge_m3,0.8379944221399793,0.8234376886902897,0.8525947188813302,320,empirical_centroid_error
qwen35_9b,multilingual_e5_large_instruct,0.7589295757058603,0.7463243016541865,0.7721120568585409,320,empirical_centroid_error
qwen35_9b,text2vec_base_chinese,0.7847318581401356,0.7726372297121076,0.7967982466571262,320,empirical_centroid_error
qwen36_27b,bge_m3,0.8358126007585632,0.8209539269287217,0.8511020813200446,320,empirical_centroid_error
qwen36_27b,multilingual_e5_large_instruct,0.7628527892864091,0.7481680251125912,0.7780485827237856,320,empirical_centroid_error
qwen36_27b,text2vec_base_chinese,0.7810112704488935,0.7667061457598426,0.7958144049060044,320,empirical_centroid_error
qwen36_35b_a3b,bge_m3,0.8393651886443235,0.8233437433655919,0.8558888077182709,320,empirical_centroid_error
qwen36_35b_a3b,multilingual_e5_large_instruct,0.7535519408386289,0.7400506223431957,0.7676527021663139,320,empirical_centroid_error
qwen36_35b_a3b,text2vec_base_chinese,0.7862117153964837,0.7729374703115192,0.7998326487137928,320,empirical_centroid_error
qwen35_35b_a3b,bge_m3,0.1912152777777778,0.18472222222222223,0.19770833333333332,320,empirical_centroid_along_error
qwen35_35b_a3b,multilingual_e5_large_instruct,0.18687499999999999,0.1805894097222222,0.193125,320,empirical_centroid_along_error
qwen35_35b_a3b,text2vec_base_chinese,0.18336805555555558,0.17722222222222223,0.18958333333333335,320,empirical_centroid_along_error
qwen35_4b,bge_m3,0.24277777777777781,0.2353810763888889,0.25027777777777777,320,empirical_centroid_along_error
qwen35_4b,multilingual_e5_large_instruct,0.23361111111111113,0.22642361111111114,0.24069444444444446,320,empirical_centroid_along_error
qwen35_4b,text2vec_base_chinese,0.2349305555555556,0.22822916666666665,0.2416666666666667,320,empirical_centroid_along_error
qwen35_9b,bge_m3,0.1771875,0.17152690972222223,0.18291666666666667,320,empirical_centroid_along_error
qwen35_9b,multilingual_e5_large_instruct,0.17475694444444442,0.16947916666666668,0.18020833333333336,320,empirical_centroid_along_error
qwen35_9b,text2vec_base_chinese,0.16895833333333338,0.16381944444444446,0.17413194444444446,320,empirical_centroid_along_error
qwen36_27b,bge_m3,0.21913194444444448,0.2127777777777778,0.22545138888888888,320,empirical_centroid_along_error
qwen36_27b,multilingual_e5_large_instruct,0.21788194444444448,0.2111111111111111,0.22486111111111112,320,empirical_centroid_along_error
qwen36_27b,text2vec_base_chinese,0.21413194444444444,0.20739496527777776,0.22118142361111112,320,empirical_centroid_along_error
qwen36_35b_a3b,bge_m3,0.1924652777777778,0.18673611111111113,0.19822916666666668,320,empirical_centroid_along_error
qwen36_35b_a3b,multilingual_e5_large_instruct,0.1834375,0.1774305555555556,0.18961805555555555,320,empirical_centroid_along_error
qwen36_35b_a3b,text2vec_base_chinese,0.185,0.1791666666666667,0.19086805555555558,320,empirical_centroid_along_error
qwen35_35b_a3b,bge_m3,0.18905334762333784,0.18345664055130728,0.19480979514305344,320,piecewise_trajectory_error
qwen35_35b_a3b,multilingual_e5_large_instruct,0.1834507802028102,0.17784360769389804,0.18900207413586304,320,piecewise_trajectory_error
qwen35_35b_a3b,text2vec_base_chinese,0.18343444155470096,0.17799047867010515,0.1889165152967806,320,piecewise_trajectory_error
qwen35_4b,bge_m3,0.2278622986558827,0.22137486683552646,0.23443789591220904,320,piecewise_trajectory_error
qwen35_4b,multilingual_e5_large_instruct,0.2223781789942664,0.2161660894558291,0.22860359085651247,320,piecewise_trajectory_error
qwen35_4b,text2vec_base_chinese,0.2251471500935686,0.21905958577454182,0.23117310794227167,320,piecewise_trajectory_error
qwen35_9b,bge_m3,0.16859859042194075,0.16372546347660774,0.17353741817798538,320,piecewise_trajectory_error
qwen35_9b,multilingual_e5_large_instruct,0.1661510051719735,0.16167542339348928,0.17072488119443532,320,piecewise_trajectory_error
qwen35_9b,text2vec_base_chinese,0.16101322024447637,0.1566081873642678,0.16557445772432663,320,piecewise_trajectory_error
qwen36_27b,bge_m3,0.21331058573527822,0.2072885034166065,0.21935858967674055,320,piecewise_trajectory_error
qwen36_27b,multilingual_e5_large_instruct,0.21205334127763636,0.20558449960749828,0.21867784732318318,320,piecewise_trajectory_error
qwen36_27b,text2vec_base_chinese,0.21077257021117574,0.2041960414649997,0.21754383229872054,320,piecewise_trajectory_error
qwen36_35b_a3b,bge_m3,0.18706990016159994,0.18194406229749177,0.19227784684461427,320,piecewise_trajectory_error
qwen36_35b_a3b,multilingual_e5_large_instruct,0.17966682384512556,0.1744101110747379,0.18522138422524873,320,piecewise_trajectory_error
qwen36_35b_a3b,text2vec_base_chinese,0.17633286137114557,0.1711347118241549,0.18165078372293333,320,piecewise_trajectory_error
qwen35_35b_a3b,bge_m3,0.29541666666666666,0.28229166666666666,0.30874999999999997,320,endpoint_line_accuracy
qwen35_35b_a3b,multilingual_e5_large_instruct,0.30062500000000003,0.2866666666666666,0.31479166666666664,320,endpoint_line_accuracy
qwen35_35b_a3b,text2vec_base_chinese,0.30395833333333333,0.29124999999999995,0.31687499999999996,320,endpoint_line_accuracy
qwen35_4b,bge_m3,0.265625,0.253125,0.2783333333333333,320,endpoint_line_accuracy
qwen35_4b,multilingual_e5_large_instruct,0.2685416666666667,0.2554166666666666,0.28229687499999995,320,endpoint_line_accuracy
qwen35_4b,text2vec_base_chinese,0.28479166666666667,0.271875,0.2977083333333333,320,endpoint_line_accuracy
qwen35_9b,bge_m3,0.3597916666666667,0.34624999999999995,0.37333333333333335,320,endpoint_line_accuracy
qwen35_9b,multilingual_e5_large_instruct,0.3227083333333333,0.30874999999999997,0.3366666666666666,320,endpoint_line_accuracy
qwen35_9b,text2vec_base_chinese,0.354375,0.34,0.3685468749999999,320,endpoint_line_accuracy
qwen36_27b,bge_m3,0.2925,0.279375,0.3054166666666666,320,endpoint_line_accuracy
qwen36_27b,multilingual_e5_large_instruct,0.2810416666666667,0.26749999999999996,0.2947968749999999,320,endpoint_line_accuracy
qwen36_27b,text2vec_base_chinese,0.2783333333333333,0.2660416666666667,0.2908333333333334,320,endpoint_line_accuracy
qwen36_35b_a3b,bge_m3,0.30583333333333335,0.29312499999999997,0.31854166666666667,320,endpoint_line_accuracy
qwen36_35b_a3b,multilingual_e5_large_instruct,0.3047916666666667,0.29124999999999995,0.31812500000000005,320,endpoint_line_accuracy
qwen36_35b_a3b,text2vec_base_chinese,0.3302083333333333,0.31562500000000004,0.34520833333333334,320,endpoint_line_accuracy
qwen35_35b_a3b,bge_m3,0.3314583333333333,0.3158333333333333,0.34770833333333334,320,empirical_centroid_accuracy
qwen35_35b_a3b,multilingual_e5_large_instruct,0.33729166666666666,0.32208333333333333,0.35270833333333335,320,empirical_centroid_accuracy
qwen35_35b_a3b,text2vec_base_chinese,0.340625,0.32500000000000007,0.3566666666666667,320,empirical_centroid_accuracy
qwen35_4b,bge_m3,0.240625,0.226875,0.25479166666666664,320,empirical_centroid_accuracy
qwen35_4b,multilingual_e5_large_instruct,0.24541666666666667,0.23208333333333334,0.25895833333333335,320,empirical_centroid_accuracy
qwen35_4b,text2vec_base_chinese,0.24312499999999998,0.22937500000000005,0.25645833333333334,320,empirical_centroid_accuracy
qwen35_9b,bge_m3,0.31604166666666667,0.30083333333333334,0.33104166666666657,320,empirical_centroid_accuracy
qwen35_9b,multilingual_e5_large_instruct,0.32166666666666666,0.3077083333333333,0.3354166666666667,320,empirical_centroid_accuracy
qwen35_9b,text2vec_base_chinese,0.33458333333333334,0.32083333333333336,0.34833333333333333,320,empirical_centroid_accuracy
qwen36_27b,bge_m3,0.25875000000000004,0.24562499999999998,0.2720833333333333,320,empirical_centroid_accuracy
qwen36_27b,multilingual_e5_large_instruct,0.2625,0.24770833333333336,0.27770833333333333,320,empirical_centroid_accuracy
qwen36_27b,text2vec_base_chinese,0.26375000000000004,0.24937499999999999,0.2783333333333333,320,empirical_centroid_accuracy
qwen36_35b_a3b,bge_m3,0.3091666666666667,0.2947916666666667,0.32395833333333335,320,empirical_centroid_accuracy
qwen36_35b_a3b,multilingual_e5_large_instruct,0.3325,0.31708333333333333,0.34770833333333334,320,empirical_centroid_accuracy
qwen36_35b_a3b,text2vec_base_chinese,0.32062500000000005,0.3054166666666666,0.33625,320,empirical_centroid_accuracy
qwen35_35b_a3b,bge_m3,0.34229166666666666,0.32687499999999997,0.35791666666666666,320,piecewise_trajectory_accuracy
qwen35_35b_a3b,multilingual_e5_large_instruct,0.3477083333333334,0.33229166666666665,0.36291666666666667,320,piecewise_trajectory_accuracy
qwen35_35b_a3b,text2vec_base_chinese,0.34729166666666667,0.33166666666666667,0.36354166666666665,320,piecewise_trajectory_accuracy
qwen35_4b,bge_m3,0.26104166666666667,0.24666666666666667,0.27541666666666664,320,piecewise_trajectory_accuracy
qwen35_4b,multilingual_e5_large_instruct,0.25083333333333335,0.23707812499999997,0.26458333333333334,320,piecewise_trajectory_accuracy
qwen35_4b,text2vec_base_chinese,0.25145833333333334,0.238125,0.26479166666666665,320,piecewise_trajectory_accuracy
qwen35_9b,bge_m3,0.33875,0.3239583333333333,0.353125,320,piecewise_trajectory_accuracy
qwen35_9b,multilingual_e5_large_instruct,0.33854166666666663,0.32416666666666666,0.35291666666666666,320,piecewise_trajectory_accuracy
qwen35_9b,text2vec_base_chinese,0.34854166666666664,0.3347864583333333,0.3622968749999999,320,piecewise_trajectory_accuracy
qwen36_27b,bge_m3,0.265625,0.25145312499999994,0.279375,320,piecewise_trajectory_accuracy
qwen36_27b,multilingual_e5_large_instruct,0.27020833333333333,0.25479166666666664,0.28562499999999996,320,piecewise_trajectory_accuracy
qwen36_27b,text2vec_base_chinese,0.2729166666666667,0.2579166666666667,0.28812499999999996,320,piecewise_trajectory_accuracy
qwen36_35b_a3b,bge_m3,0.31875,0.3047916666666666,0.3333333333333333,320,piecewise_trajectory_accuracy
qwen36_35b_a3b,multilingual_e5_large_instruct,0.34520833333333334,0.32916666666666666,0.36124999999999996,320,piecewise_trajectory_accuracy
qwen36_35b_a3b,text2vec_base_chinese,0.3352083333333334,0.3197916666666667,0.3506302083333333,320,piecewise_trajectory_accuracy
qwen35_35b_a3b,bge_m3,0.7821829917640898,0.7704536942438093,0.7942073700006184,320,endpoint_line_off_trajectory
qwen35_35b_a3b,multilingual_e5_large_instruct,0.7136423732294397,0.7015944327353933,0.7256376535040454,320,endpoint_line_off_trajectory
qwen35_35b_a3b,text2vec_base_chinese,0.7242346823807013,0.7132908271788311,0.7353701819060328,320,endpoint_line_off_trajectory
qwen35_4b,bge_m3,0.8838981188556883,0.8715076477624066,0.8965857376194616,320,endpoint_line_off_trajectory
qwen35_4b,multilingual_e5_large_instruct,0.8354598728043061,0.8222197482972615,0.8490719026565761,320,endpoint_line_off_trajectory
qwen35_4b,text2vec_base_chinese,0.8453517102011816,0.8326790156956233,0.8585199129718898,320,endpoint_line_off_trajectory
qwen35_9b,bge_m3,0.7942963519891844,0.7817273874812541,0.8067815260335038,320,endpoint_line_off_trajectory
qwen35_9b,multilingual_e5_large_instruct,0.717041526023079,0.7056952875663767,0.7286428491258967,320,endpoint_line_off_trajectory
qwen35_9b,text2vec_base_chinese,0.7433614120378005,0.7325314279893467,0.7542723361647682,320,endpoint_line_off_trajectory
qwen36_27b,bge_m3,0.7836372745609672,0.771219089593225,0.7967371153664131,320,endpoint_line_off_trajectory
qwen36_27b,multilingual_e5_large_instruct,0.7078162090374501,0.6951550099330087,0.7213454377263119,320,endpoint_line_off_trajectory
qwen36_27b,text2vec_base_chinese,0.7247750371254084,0.7121332456605287,0.7373160760080517,320,endpoint_line_off_trajectory
qwen36_35b_a3b,bge_m3,0.8108554272013411,0.7961738118229726,0.8259394648201948,320,endpoint_line_off_trajectory
