model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen35_35b_a3b,bge_m3,0.13268289732795796,0.1299413137073942,0.1355489636020076,320,mae_7_point_raw
qwen35_35b_a3b,multilingual_e5_large_instruct,0.1332049523045526,0.1299006995425455,0.13656372924731383,320,mae_7_point_raw
qwen35_35b_a3b,text2vec_base_chinese,0.12535899529242603,0.1225339878505122,0.12822082322633294,320,mae_7_point_raw
qwen35_4b,bge_m3,0.14918414774711905,0.14648097147280265,0.15194501147453462,320,mae_7_point_raw
qwen35_4b,multilingual_e5_large_instruct,0.14429815829145606,0.14134898849785954,0.14722621128113114,320,mae_7_point_raw
qwen35_4b,text2vec_base_chinese,0.13903061364236624,0.13602564344502685,0.1419472808981136,320,mae_7_point_raw
qwen35_9b,bge_m3,0.11526751729115255,0.11266080968677997,0.11794157126454385,320,mae_7_point_raw
qwen35_9b,multilingual_e5_large_instruct,0.11315181967138557,0.11023085225239754,0.11615021053626302,320,mae_7_point_raw
qwen35_9b,text2vec_base_chinese,0.10606316535288865,0.10334732428127023,0.10882966686617342,320,mae_7_point_raw
qwen36_27b,bge_m3,0.1354670812511633,0.13255032706370784,0.13847532643317123,320,mae_7_point_raw
qwen36_27b,multilingual_e5_large_instruct,0.13536384228667728,0.13210717695166768,0.13866535550240752,320,mae_7_point_raw
qwen36_27b,text2vec_base_chinese,0.13467090190897227,0.13150524944430622,0.13784627912376404,320,mae_7_point_raw
qwen36_35b_a3b,bge_m3,0.12728353661120395,0.12450049520230232,0.13008914384880776,320,mae_7_point_raw
qwen36_35b_a3b,multilingual_e5_large_instruct,0.12405518321492878,0.1210443292597283,0.12706978591470147,320,mae_7_point_raw
qwen36_35b_a3b,text2vec_base_chinese,0.1189141039358594,0.11593152404247004,0.12185866054420898,320,mae_7_point_raw
qwen35_35b_a3b,bge_m3,0.18575605625914107,0.1819178391903518,0.18976854904281054,320,mae_5_point_raw
qwen35_35b_a3b,multilingual_e5_large_instruct,0.18648693322637366,0.1818609793595637,0.19118922094623936,320,mae_5_point_raw
