model,projection_mae,projection_spearman,projection_endpoint_attraction,interpolation_distance_mean,off_axis_drift_mean,nearest_neighbor_top1_rate,nearest_neighbor_mean_rank,n
qwen35_35b_a3b,0.1170192705090292,0.8940543693022517,0.0694444444444444,0.2588514682703784,0.2451138407524143,0.2898809523809524,2.757142857142857,1680
qwen35_4b,0.1506757724523529,0.8327086919046466,0.0722222222222222,0.2711795390095739,0.2531764582154296,0.2886904761904761,3.170238095238095,1680
qwen35_9b,0.1060352091210042,0.9115910221509992,0.0861111111111111,0.270403987160396,0.2597007147524328,0.2928571428571428,2.7904761904761903,1680
