model,axis_id,n_generations,n_scenarios,n_seeds,n_ratios,mean_output_chars,mean_zh_chars,length_violation_rate,think_block_rate
qwen35_35b_a3b,emotion_apology,280,20,2,7,128.41785714285714,118.10357142857143,0.19285714285714287,0.0
qwen35_35b_a3b,empathy_clinical,280,20,2,7,139.90357142857144,128.37142857142857,0.1392857142857143,0.0
qwen35_35b_a3b,formality_request,280,20,2,7,124.08928571428571,113.21428571428571,0.2892857142857143,0.0
qwen35_4b,emotion_apology,280,20,2,7,100.01785714285714,91.70357142857142,0.3535714285714286,0.0
qwen35_4b,empathy_clinical,280,20,2,7,109.99642857142857,100.39285714285714,0.18214285714285713,0.0
qwen35_4b,formality_request,280,20,2,7,111.17857142857143,101.49285714285715,0.24642857142857144,0.0
qwen35_9b,emotion_apology,280,20,2,7,116.21428571428571,106.18571428571428,0.09285714285714286,0.0
qwen35_9b,empathy_clinical,280,20,2,7,128.4,117.32857142857142,0.10714285714285714,0.0
qwen35_9b,formality_request,280,20,2,7,107.05,96.99285714285715,0.18928571428571428,0.0
